id,name,listing_url,picture_url,price,neighbourhood_cleansed,room_type,accommodates,bedrooms,bathrooms,mean_compound,n_reviews
875492143779262367,Village of La Jolla Condo,https://www.airbnb.com/rooms/875492143779262367,https://a0.muscache.com/pictures/miso/Hosting-875492143779262367/original/a7f17207-f5d3-4dca-b966-1ef0371fc0ce.jpeg,204.0,La Jolla,Entire home/apt,4,2.0,2.0,0.31689999999999996,2.0
875520129901771737,The Cafe in Boutique La-Jolla Hotel,https://www.airbnb.com/rooms/875520129901771737,https://a0.muscache.com/pictures/miso/Hosting-875520129901771737/original/9e483cf5-f8ab-4b5e-a582-b9ad1a701419.jpeg,471.0,La Jolla,Private room,2,1.0,1.0,0.0,1.0
875534886344560593,The Conservatory in Boutique La Jolla Hotel,https://www.airbnb.com/rooms/875534886344560593,https://a0.muscache.com/pictures/miso/Hosting-875534886344560593/original/ed65edca-535a-4169-a691-821cf86e88a7.jpeg,535.0,La Jolla,Private room,2,1.0,1.0,0.8107,1.0
875542784896303091,The Study in Boutique La Jolla Hotel,https://www.airbnb.com/rooms/875542784896303091,https://a0.muscache.com/pictures/miso/Hosting-875542784896303091/original/9e965de1-5c32-4c62-a7d6-ae715dd2197b.jpeg,423.0,La Jolla,Private room,2,1.0,1.0,0.983,1.0
875551661925819407,The Nest in Boutique La Jolla Hotel,https://www.airbnb.com/rooms/875551661925819407,https://a0.muscache.com/pictures/miso/Hosting-875551661925819407/original/d49de8d8-8651-49a7-a3a8-b100f86ecf27.jpeg,377.0,La Jolla,Private room,2,1.0,1.0,0.80831875,16.0
875556410501834896,The Nomad in Boutique La Jolla Hotel,https://www.airbnb.com/rooms/875556410501834896,https://a0.muscache.com/pictures/miso/Hosting-875556410501834896/original/30d9bd7d-339f-43a1-a5c0-48e9ce1784b2.jpeg,576.0,La Jolla,Private room,4,1.0,1.0,0.9392,1.0
875564124880627368,2 Story Irving Gill Penthouse in Boutique Hotel,https://www.airbnb.com/rooms/875564124880627368,https://a0.muscache.com/pictures/miso/Hosting-875564124880627368/original/d867d774-4438-4e2d-9dec-50b27e38ef43.jpeg,965.0,La Jolla,Private room,4,1.0,1.0,,
875571327553363874,The Sunset Suite in Boutique Hotel,https://www.airbnb.com/rooms/875571327553363874,https://a0.muscache.com/pictures/miso/Hosting-875571327553363874/original/7341986d-5b7c-4a72-bb06-5226558fda56.jpeg,897.0,La Jolla,Private room,4,2.0,2.0,0.2925,3.0
875601474573234628,The Bunk Room at Boutique Hotel,https://www.airbnb.com/rooms/875601474573234628,https://a0.muscache.com/pictures/miso/Hosting-875601474573234628/original/ace53455-21df-44c3-974e-ab643c885664.jpeg,429.0,La Jolla,Private room,3,1.0,1.0,0.71495,4.0
876098584771970668,City View Apartment in Downtown!,https://www.airbnb.com/rooms/876098584771970668,https://a0.muscache.com/pictures/prohost-api/Hosting-876098584771970668/original/dfeaa88a-0d31-45f6-ada4-8bf4ab687d2a.jpeg,126.0,East Village,Entire home/apt,4,1.0,1.0,0.631972972972973,74.0
876130270662287384,Spacious & Modern  | New Backyard | 94 Walk Score,https://www.airbnb.com/rooms/876130270662287384,https://a0.muscache.com/pictures/miso/Hosting-876130270662287384/original/48a3d009-2654-4f74-83d7-fde91ec0ff87.jpeg,314.0,Normal Heights,Entire home/apt,6,3.0,2.0,0.891443023255814,86.0
876250321317414390,"5 Star Windansea Home w/AC, Fire Pit, Walk 2 Beach",https://www.airbnb.com/rooms/876250321317414390,https://a0.muscache.com/pictures/miso/Hosting-876250321317414390/original/605d5ddb-1a3a-4c1d-bdb3-8f5e65c77ec9.jpeg,605.0,La Jolla,Entire home/apt,8,3.0,3.0,0.8936375,56.0
